number,short_description,description,category,subcategory,priority,state,resolution_notes,close_notes,assignment_group,assigned_to,sys_created_on,sys_updated_on,resolved_at
INC0001,Email not sending,User cannot send emails from Outlook client,Email,Outlook,2,Closed,"Reset email client configuration and verified SMTP settings. Issue resolved.",User confirmed emails working,IT Support,John Doe,2025-12-15 09:30:00,2025-12-15 14:45:00,2025-12-15 14:45:00
INC0002,Slow network connection,Network speed extremely slow in Building A,Network,LAN,3,Closed,"Restarted network switch on Floor 3. Checked cables and found loose connection. Secured connection and verified speed.",Network performance restored,Network Team,Jane Smith,2025-12-18 10:15:00,2025-12-18 16:30:00,2025-12-18 16:30:00
INC0003,Computer won't boot,Desktop computer in Room 205 won't start up,Hardware,Desktop,1,Closed,"Diagnosed power supply failure. Replaced power supply unit. System boots normally now.",Computer fully functional,Hardware Team,Bob Johnson,2025-12-20 08:00:00,2025-12-20 11:20:00,2025-12-20 11:20:00
INC0004,Unable to access shared drive,User cannot access Z: drive (shared folder),Access,Network Drive,3,Closed,"Reset user permissions on file server. Verified group membership. User can now access shared drive.",Access restored,IT Support,John Doe,2025-12-22 13:45:00,2025-12-22 15:10:00,2025-12-22 15:10:00
INC0005,Printer not printing,Color printer on Floor 2 not responding,Hardware,Printer,3,Closed,"Cleared paper jam and replaced toner cartridge. Restarted printer service. Test print successful.",Printer working,IT Support,Alice Brown,2025-12-23 11:00:00,2025-12-23 12:30:00,2025-12-23 12:30:00
INC0006,Application crashes on startup,Database application crashes when opening,Software,Database Client,2,Closed,"Reinstalled application and updated to latest version. Verified database connection settings. Application runs normally.",User confirmed resolution,Database Team,Mike Wilson,2025-12-27 09:15:00,2025-12-27 17:00:00,2025-12-27 17:00:00
INC0007,Forgotten password,User forgot login password for system,Access,Password Reset,4,Closed,"Verified user identity and reset password through AD. User successfully logged in with new password.",Password reset complete,IT Support,John Doe,2025-12-28 14:20:00,2025-12-28 14:35:00,2025-12-28 14:35:00
INC0008,Laptop screen flickering,Laptop display intermittently flickers,Hardware,Laptop,3,Closed,"Updated graphics driver to latest version. Adjusted display refresh rate. Flickering resolved.",User reports no issues,Hardware Team,Bob Johnson,2025-12-30 10:30:00,2025-12-30 15:45:00,2025-12-30 15:45:00
INC0009,VPN connection fails,Cannot connect to corporate VPN from home,Network,VPN,2,Closed,"Reconfigured VPN client settings. Updated VPN certificate. Connection established successfully.",User connected to VPN,Network Team,Jane Smith,2026-01-02 08:45:00,2026-01-02 13:20:00,2026-01-02 13:20:00
INC0010,Outlook not syncing,Emails not syncing in Outlook,Email,Outlook,3,Closed,"Rebuilt Outlook profile and reconfigured email account. Started full sync. Emails syncing normally.",Mailbox fully synced,IT Support,John Doe,2026-01-03 09:00:00,2026-01-03 16:15:00,2026-01-03 16:15:00
INC0011,Website not loading,Company intranet site not accessible,Network,Web Access,1,Closed,"Restarted IIS web server. Cleared DNS cache on affected computers. Website accessible now.",All users can access,Network Team,Jane Smith,2026-01-04 07:30:00,2026-01-04 09:45:00,2026-01-04 09:45:00
INC0012,File server down,Main file server not responding,Hardware,Server,1,Closed,"Rebooted file server. Checked disk health. All services running. Users can access files.",Server operational,IT Support,Alice Brown,2026-01-05 08:15:00,2026-01-05 10:00:00,2026-01-05 10:00:00
INC0013,Software license expired,Photoshop showing license expired message,Software,Adobe,3,Closed,"Updated license key with new corporate license. Verified activation. Software fully licensed.",License renewed,IT Support,Mike Wilson,2026-01-06 11:30:00,2026-01-06 14:00:00,2026-01-06 14:00:00
INC0014,Keyboard not working,Wireless keyboard stopped responding,Hardware,Peripherals,4,Closed,"Replaced keyboard batteries. Re-paired keyboard with receiver. Keyboard functioning normally.",Keyboard working,IT Support,Bob Johnson,2026-01-07 15:00:00,2026-01-07 15:25:00,2026-01-07 15:25:00
INC0015,Spam emails increasing,User receiving excessive spam emails,Email,Spam Filter,3,Closed,"Adjusted spam filter settings. Added sender domains to blocklist. Trained spam filter. Spam reduced significantly.",Spam filtered,IT Support,John Doe,2026-01-08 10:10:00,2026-01-08 17:30:00,2026-01-08 17:30:00
INC0016,Monitor display issues,External monitor not detected,Hardware,Monitor,3,Closed,"Tested with different cable. Replaced HDMI cable. Monitor detected and displays correctly.",Monitor working,Hardware Team,Bob Johnson,2026-01-09 09:20:00,2026-01-09 11:45:00,2026-01-09 11:45:00
INC0017,Cannot install software,Error when installing new software package,Software,Installation,3,Closed,"Ran installer with admin privileges. Disabled antivirus temporarily. Software installed successfully.",Installation complete,IT Support,Alice Brown,2026-01-10 13:00:00,2026-01-10 15:30:00,2026-01-10 15:30:00
INC0018,Database connection timeout,Application showing database timeout errors,Database,Connection,2,Closed,"Increased connection timeout in app config. Optimized slow queries. Connection stable now.",No more timeouts,Database Team,Mike Wilson,2026-01-11 08:30:00,2026-01-11 14:15:00,2026-01-11 14:15:00
INC0019,Phone system down,Office phone system not working,Hardware,Phone System,1,Closed,"Restarted phone server. Checked network connectivity. All phones registered and working.",Phones operational,Network Team,Jane Smith,2026-01-11 16:00:00,2026-01-11 18:30:00,2026-01-11 18:30:00
INC0020,Antivirus update failed,Antivirus definitions not updating,Software,Antivirus,3,Closed,"Manually downloaded definitions. Configured update schedule. Antivirus updating automatically.",Updates working,IT Support,John Doe,2026-01-12 09:45:00,2026-01-12 12:00:00,2026-01-12 12:00:00
